JDBC time: 148161540, Servlet time: 148181876
JDBC time: 148303482, Servlet time: 148325736
JDBC time: 152673283, Servlet time: 152706439
JDBC time: 161093782, Servlet time: 161118939
JDBC time: 165053280, Servlet time: 165096173
JDBC time: 119144271, Servlet time: 119174313
JDBC time: 29810290, Servlet time: 29832721
JDBC time: 30748420, Servlet time: 30771540
JDBC time: 34456392, Servlet time: 34475407
JDBC time: 36887850, Servlet time: 36928789
JDBC time: 8787642, Servlet time: 8824116
JDBC time: 16676936, Servlet time: 16696696
JDBC time: 18014656, Servlet time: 18051749
JDBC time: 26991515, Servlet time: 27012601
JDBC time: 22776656, Servlet time: 22800591
JDBC time: 45707745, Servlet time: 45771296
JDBC time: 19143415, Servlet time: 19184032
JDBC time: 13547445, Servlet time: 13571313
JDBC time: 9833543, Servlet time: 9877457
JDBC time: 54566959, Servlet time: 54610015
JDBC time: 48272092, Servlet time: 48293666
JDBC time: 46853022, Servlet time: 46873963
JDBC time: 49024799, Servlet time: 49046896
JDBC time: 54710070, Servlet time: 54731721
JDBC time: 56009208, Servlet time: 56030634
JDBC time: 63710566, Servlet time: 63733691
JDBC time: 24668148, Servlet time: 24688182
JDBC time: 27264501, Servlet time: 27314045
JDBC time: 26873268, Servlet time: 26898001
JDBC time: 54829952, Servlet time: 54853357
JDBC time: 58111342, Servlet time: 58133451
JDBC time: 59392738, Servlet time: 59413364
JDBC time: 61299370, Servlet time: 61343966
JDBC time: 59480849, Servlet time: 59502236
JDBC time: 59077150, Servlet time: 59100139
JDBC time: 71560493, Servlet time: 71580011
JDBC time: 24362096, Servlet time: 24382655
JDBC time: 25155131, Servlet time: 25180293
JDBC time: 27692926, Servlet time: 27733444
JDBC time: 65936945, Servlet time: 65958947
JDBC time: 68840347, Servlet time: 68867558
JDBC time: 66383059, Servlet time: 66414133
JDBC time: 69334837, Servlet time: 69357466
JDBC time: 77926605, Servlet time: 77978355
JDBC time: 84217804, Servlet time: 84246278
JDBC time: 93548199, Servlet time: 93569585
JDBC time: 26170093, Servlet time: 26193109
JDBC time: 26447126, Servlet time: 26483180
JDBC time: 30275768, Servlet time: 30322432
JDBC time: 36344628, Servlet time: 36365397
JDBC time: 40664107, Servlet time: 40685494
JDBC time: 41848706, Servlet time: 41868402
JDBC time: 45105135, Servlet time: 45148402
JDBC time: 45319059, Servlet time: 45340366
JDBC time: 44909271, Servlet time: 44929993
JDBC time: 45774862, Servlet time: 45796448
JDBC time: 47851788, Servlet time: 47900368
JDBC time: 48234272, Servlet time: 48255412
JDBC time: 56119621, Servlet time: 56140769
JDBC time: 44697787, Servlet time: 44740442
JDBC time: 31630874, Servlet time: 31653883
JDBC time: 44574604, Servlet time: 44603008
JDBC time: 38845664, Servlet time: 38882950
JDBC time: 39840513, Servlet time: 39870758
JDBC time: 41630763, Servlet time: 41672132
JDBC time: 28289006, Servlet time: 28314535
JDBC time: 28686047, Servlet time: 28707776
JDBC time: 39599482, Servlet time: 39624671
JDBC time: 39593945, Servlet time: 39614209
JDBC time: 35006454, Servlet time: 35027125
JDBC time: 40775742, Servlet time: 40795791
JDBC time: 43739157, Servlet time: 43782750
JDBC time: 44762358, Servlet time: 44784514
JDBC time: 49675630, Servlet time: 49695078
JDBC time: 50699109, Servlet time: 50719884
JDBC time: 51273137, Servlet time: 51295233
JDBC time: 54652507, Servlet time: 54672375
JDBC time: 57604260, Servlet time: 57647191
JDBC time: 57402211, Servlet time: 57422036
JDBC time: 26163598, Servlet time: 26206533
JDBC time: 26334850, Servlet time: 26368272
JDBC time: 26335505, Servlet time: 26356144
JDBC time: 9555020, Servlet time: 9592356
JDBC time: 9151329, Servlet time: 9187509
JDBC time: 37846342, Servlet time: 37870600
JDBC time: 37265809, Servlet time: 39334440
JDBC time: 38304109, Servlet time: 38326144
JDBC time: 40573102, Servlet time: 40592368
JDBC time: 46653012, Servlet time: 46687162
JDBC time: 36835974, Servlet time: 36858444
JDBC time: 37799671, Servlet time: 37819360
JDBC time: 38539066, Servlet time: 38559888
JDBC time: 40630287, Servlet time: 40653518
JDBC time: 43265604, Servlet time: 43309317
JDBC time: 37435309, Servlet time: 37455431
JDBC time: 40757480, Servlet time: 40777033
JDBC time: 41889146, Servlet time: 41932163
JDBC time: 42436779, Servlet time: 42460221
JDBC time: 43500771, Servlet time: 43519391
JDBC time: 36184244, Servlet time: 36208525
JDBC time: 38468450, Servlet time: 38490734
JDBC time: 41020799, Servlet time: 41042503
JDBC time: 41754293, Servlet time: 41774063
JDBC time: 45200453, Servlet time: 45243262
JDBC time: 34943448, Servlet time: 34964267
JDBC time: 43799017, Servlet time: 43820553
JDBC time: 44901835, Servlet time: 44926181
JDBC time: 47251943, Servlet time: 47275020
JDBC time: 54022600, Servlet time: 54065507
JDBC time: 9686115, Servlet time: 9738447
JDBC time: 34834476, Servlet time: 34943761
JDBC time: 34013290, Servlet time: 34043074
JDBC time: 33457228, Servlet time: 33479637
JDBC time: 34074516, Servlet time: 34100021
JDBC time: 50291806, Servlet time: 50313500
JDBC time: 51931138, Servlet time: 51951249
JDBC time: 59991203, Servlet time: 60018705
JDBC time: 55048828, Servlet time: 55073909
JDBC time: 69381107, Servlet time: 69428503
JDBC time: 36847028, Servlet time: 36885626
JDBC time: 69231620, Servlet time: 69251808
JDBC time: 29167224, Servlet time: 29206811
JDBC time: 24992207, Servlet time: 25021106
JDBC time: 25110624, Servlet time: 25131676
JDBC time: 51154998, Servlet time: 51176599
JDBC time: 51899051, Servlet time: 51919035
JDBC time: 55679360, Servlet time: 55707298
JDBC time: 55698123, Servlet time: 55718842
JDBC time: 62091520, Servlet time: 62113319
JDBC time: 64363824, Servlet time: 64385055
JDBC time: 71588671, Servlet time: 71629992
JDBC time: 29122304, Servlet time: 29144484
JDBC time: 30052913, Servlet time: 30076572
JDBC time: 32243924, Servlet time: 32283677
JDBC time: 9852199, Servlet time: 9898427
JDBC time: 46528724, Servlet time: 46550810
JDBC time: 46014642, Servlet time: 46039293
JDBC time: 48880821, Servlet time: 48917812
JDBC time: 27505417, Servlet time: 27526665
JDBC time: 30332031, Servlet time: 30369950
JDBC time: 46108771, Servlet time: 46149924
JDBC time: 24985470, Servlet time: 25007340
JDBC time: 18205159, Servlet time: 18229001
JDBC time: 27996337, Servlet time: 28047408
JDBC time: 9496485, Servlet time: 9536053
JDBC time: 43880662, Servlet time: 43902466
JDBC time: 46352268, Servlet time: 46376413
JDBC time: 45095320, Servlet time: 45115404
JDBC time: 45813491, Servlet time: 45834188
